"","G","loglik","AIC","BIC","entropy"
"m1",1,-1059786.18398031,2119586.36796062,2119647.95669903,1
"m2",2,-1042768.56528548,2085559.13057095,2085655.91287418,0.93750809575884
"m3",3,-1036799.48518934,2073628.97037868,2073760.94624671,0.927772528897933
"m4",4,-1033813.99489128,2067665.98978256,2067833.15921541,0.897503213050139
"m5",5,-1033813.99489117,2067673.98978234,2067876.35278,0.791351264626151
